2026-01-14 01:45:36,429 :INFO :get_title :Get Page Title Swag Labs
2026-01-14 01:45:49,007 :INFO :get_title :Get Page Title Swag Labs
2026-01-14 01:45:49,046 :INFO :enter_value :Enter Value ('id', 'user-name')
2026-01-14 01:45:49,180 :INFO :enter_value :Enter Value ('id', 'password')
2026-01-14 01:45:49,215 :INFO :do_click :Actions Click Element  ('id', 'login-button')
2026-01-14 01:45:49,282 :INFO :get_element_text :Get Element Text ('css selector', "a[id='item_3_title_link'] div[class='inventory_item_name ']")
2026-01-14 01:45:49,311 :INFO :get_element_text :Get Element Text ('css selector', 'body > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(6) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1)')
2026-01-14 01:45:49,323 :INFO :do_click :Actions Click Element  ('xpath', "//div[normalize-space()='Test.allTheThings() T-Shirt (Red)']")
2026-01-14 01:45:49,361 :INFO :do_click :Actions Click Element  ('id', 'add-to-cart')
2026-01-14 01:45:49,396 :INFO :do_click :Actions Click Element  ('css selector', '.shopping_cart_link')
2026-01-14 01:45:49,429 :INFO :get_element_text :Get Element Text ('css selector', '.inventory_item_name')
2026-01-14 01:45:49,440 :INFO :get_element_text :Get Element Text ('css selector', '.inventory_item_price')
2026-01-14 01:45:49,452 :INFO :do_click :Actions Click Element  ('id', 'checkout')
2026-01-14 01:45:49,485 :INFO :enter_value :Enter Value ('id', 'first-name')
2026-01-14 01:45:49,530 :INFO :enter_value :Enter Value ('id', 'last-name')
2026-01-14 01:45:49,561 :INFO :enter_value :Enter Value ('id', 'postal-code')
2026-01-14 01:45:49,593 :INFO :do_click :Actions Click Element  ('id', 'continue')
2026-01-14 01:45:49,652 :INFO :do_click :Actions Click Element  ('id', 'finish')
2026-01-14 01:45:49,686 :INFO :get_element_text :Get Element Text ('css selector', '.complete-header')
